libid3tag 0.15.1b-7
libidn 1.25-1
libimobiledevice 1.1.4-2
libjpeg-turbo 1.2.1-1
libkate 0.4.1-3
libksba 1.2.0-2
libldap 2.4.33-1
liblqr 0.4.1-3
libltdl 2.4.2-7
libmad 0.15.1b-6
libmatroska 1.3.0-2
libmng 1.0.10-4
libmodplug 0.8.8.4-1
libmpc 1.0.1-1
libmpcdec 1.2.6-3
libmpeg2 0.5.1-3
libnl 3.2.11-1
libnotify 0.7.5-1
libogg 1.3.0-1
libpcap 1.3.0-1
libpciaccess 0.13.1-1
libpipeline 1.2.2-1
libplist 1.8-2
libpng 1.5.13-1
libpng12 1.2.50-2
libproxy 0.4.7-2
libpulse 2.1-1
librsvg 2.36.4-1
libsamplerate 0.1.8-1
libsasl 2.1.23-9
libsecret 0.11-1
libshout 1:2.3.1-1
libsigsegv 2.10-1
libsm 1.2.1-1
libsndfile 1.0.25-2
libsoup 2.40.2-1
libsoup-gnome 2.40.2-1
libssh2 1.4.2-1
libtasn1 3.0-1
libthai 0.1.18-1
libtheora 1.1.1-2
libtiff 4.0.3-1
libtiger 0.3.4-3
libtirpc 0.2.2-4
libtool 2.4.2-7
libunique 1.1.6-5
libupnp 1.6.17-1
libusbx 1.0.14-1
libva 1.1.0-2
libvorbis 1.3.3-1
libvpx 1.1.0-1
libwbclient 3.6.9-1
libwmf 0.2.8.4-9
libx11 1.5.0-1
libxau 1.0.7-1
libxaw 1.0.11-1
libxcb 1.9-1
libxcomposite 0.4.3-2
libxcursor 1.1.13-1
libxdamage 1.1.3-2
libxdg-basedir 1.2.0-1
libxdmcp 1.1.1-1
libxext 1.3.1-1
libxfce4ui 4.10.0-1
libxfce4util 4.10.0-1
libxfixes 5.0-2
libxfont 1.4.5-1
libxft 2.3.1-1
libxi 1.6.1-1
libxinerama 1.1.2-1
libxkbfile 1.0.8-1
libxml2 2.8.0-1
libxmu 1.1.1-1
libxpm 3.5.10-1
libxrandr 1.4.0-1
libxrender 0.9.7-1
libxslt 1.1.26-3
libxss 1.2.2-1
libxt 1.1.3-1
libxtst 1.2.1-1
libxv 1.0.7-1
libxvmc 1.0.7-1
libxxf86dga 1.1.3-1
libxxf86vm 1.1.2-1
licenses 2.9-1
linux 3.6.6-1
linux-api-headers 3.6.3-1
linux-firmware 20120625-1
llpp-git 20121116-1
logrotate 3.8.2-1
lua 5.1.5-2
lvm2 2.02.98-1
lxterminal 0.1.11-2
lynx 2.8.7-6
m4 1.4.16-2
make 3.82-5
man-db 2.6.3-1
man-pages 3.43-1
mcpp 2.7.2-4
mdadm 3.2.6-1
mesa 9.0-1
mime-types 8-1
minted 1.7-1
mirage 0.9.5.2-1
mkinitcpio 0.11.0-1
mkinitcpio-busybox 1.20.2-1
mozilla-common 1.4-3
